1781546116546124,normal,6035,48421,14,1,Format1C,1.798,1,66.667,1.152
1781546116773331,normal,6049,39767,30,1,Format1C,2.017,1,65.278,1.437
1781546117049329,normal,6068,7362,6,1,Format2 ,2.172,2,81.250,1.779
1781546117844294,normal,6106,33495,22,1,Format1C,2.159,1,69.444,1.593
1781546118042154,normal,6113,31544,16,1,Format1C,1.748,1,69.444,1.151
1781546121905818,normal,6190,52170,8,2,Format1C,1.040,1,61.458,0.646
1781546122696944,normal,6207,25372,8,2,Format1C,1.544,1,59.722,0.822
1781546122961915,normal,6212,8442,0,3,Format1C,2.210,1,58.681,0.602
1781546255451239,normal,6035,48421,14,1,Format1C,1.798,1,66.667,1.152
1781546255959055,normal,6049,39767,30,1,Format1C,2.017,1,65.278,1.437
1781546260119012,normal,6106,33495,22,1,Format1C,2.159,1,69.444,1.593
1781546260402224,normal,6113,31544,16,1,Format1C,1.748,1,69.444,1.151
1781546264136057,normal,6190,52170,8,2,Format1C,1.040,1,61.458,0.646
1781546265074761,normal,6207,25372,8,2,Format1C,1.544,1,59.722,0.822
1781546265424476,normal,6212,8442,0,3,Format1C,2.210,1,58.681,0.602
1781546266036379,normal,6229,54625,30,1,Format1C,1.590,1,65.278,1.070
1781546267020263,normal,6269,30528,18,1,Format1C,2.473,1,66.667,1.707
1781546267560306,normal,6286,30354,8,1,Format1C,2.314,1,71.528,1.526
1781546267833691,normal,6300,61335,0,3,Format1 ,1.643,1,59.375,0.594
1781546268333913,normal,6329,3861,34,1,Format1C,1.957,1,65.972,1.723
1781546270274183,normal,6377,40955,4,1,Format1C,0.989,1,70.139,0.695
1781546270274183,normal,6377,12180,13,0,Format0 ,1.507,1,93.056,1.484
1781546275900435,normal,6468,16583,0,3,Format1C,1.588,1,60.069,0.555
1781546276026438,normal,6471,40017,30,1,Format1C,1.034,1,70.139,0.608
1781546276749017,normal,6487,14111,30,1,Format1C,1.505,1,63.889,1.130
1781547212832498,normal,6035,48421,14,1,Format1C,1.798,1,66.667,1.152
1781547212856149,normal,6049,39767,30,1,Format1C,2.017,1,65.278,1.437
1781547212895501,normal,6068,7362,6,1,Format2 ,2.172,2,81.250,1.779
1781547213046984,normal,6129,55689,30,1,Format1C,1.685,1,62.500,1.118
1781547213254514,normal,6324,55640,0,2,Format1A,0.357,1,63.194,0.291
1781547213330783,normal,6377,40955,4,1,Format1C,0.989,1,70.139,0.695
1781547213330783,normal,6377,12180,13,0,Format0 ,1.507,1,93.056,1.484
1781547213721366,normal,6894,38929,28,2,Format1C,0.502,1,59.375,0.250
1781547213782447,normal,6840,42375,30,1,Format1C,0.729,1,65.278,0.515
1781547214087121,normal,8159,63212,6,1,Format2 ,0.509,2,67.361,0.433
1781547215817845,normal,9856,2,0,3,Format1A,0.515,1,77.257,0.499
1781547215830015,normal,9868,103,0,3,Format1A,0.996,1,100.000,0.996
1781547215849230,normal,9887,97,9,0,Format0 ,1.002,1,100.000,1.002
1781547215857520,normal,9895,97,3,0,Format0 ,0.992,1,100.000,0.992
1781547215858347,normal,9896,97,9,0,Format0 ,0.985,1,100.000,0.985
1781547215859366,normal,9897,97,9,0,Format0 ,1.002,1,100.000,1.002
1781547215862771,normal,9900,97,3,0,Format0 ,0.991,1,100.000,0.991
1781547215864434,normal,9902,97,14,1,Format1 ,0.513,1,72.917,0.496
1781547215864434,normal,9902,103,24,1,Format1 ,0.521,1,74.306,0.505
1781547215866462,normal,9904,97,9,0,Format0 ,0.993,1,100.000,0.993
1781547215869508,normal,9907,97,9,0,Format0 ,0.998,1,100.000,0.998
1781547215870506,normal,9908,97,7,0,Format0 ,1.014,1,100.000,1.014
1781547215872959,normal,9910,97,3,0,Format0 ,0.983,1,100.000,0.983
1781547215875663,normal,9913,97,3,0,Format0 ,0.984,1,100.000,0.984
1781547215876610,normal,9914,97,9,0,Format0 ,0.993,1,100.000,0.993
1781547215878632,normal,9916,97,9,0,Format0 ,0.995,1,100.000,0.995
1781547215879649,normal,9917,97,9,0,Format0 ,0.999,1,100.000,0.999
1781547215880653,normal,9918,97,6,1,Format1 ,0.510,1,73.611,0.495
1781547215881674,normal,9919,9864,0,1,Format2 ,0.513,2,75.694,0.473
1781547215882976,normal,9920,97,3,0,Format0 ,1.010,1,100.000,1.010
1781547215884721,normal,9922,13935,8,1,Format2 ,0.508,2,65.278,0.375
1781547215885734,normal,9923,97,3,0,Format0 ,0.997,1,100.000,0.997
1781547215886747,normal,9924,97,9,0,Format0 ,0.996,1,100.000,0.996
1781547215889789,normal,9927,97,9,0,Format0 ,0.997,1,100.000,0.997
1781547215890800,normal,9928,97,7,0,Format0 ,0.998,1,100.000,0.998
1781547215893163,normal,9930,97,3,0,Format0 ,0.997,1,100.000,0.997
1781547215894850,normal,9932,97,8,1,Format1 ,0.504,1,75.694,0.490
1781547215895902,normal,9933,97,3,0,Format0 ,1.002,1,100.000,1.002
1781547215896885,normal,9934,97,9,0,Format0 ,1.002,1,100.000,1.002
1781547215898072,normal,9935,97,3,0,Format0 ,1.000,1,100.000,1.000
